city,countries,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
mataura,PF,"(-84.15719227970935, -158.1656918138079)",-84.15719227970935,-158.1656918138079,57.02,57.02,47,7.67,34
heihe,CN,"(50.59119042704734, 126.85828702042306)",50.59119042704734,126.85828702042306,62.6,62.6,88,13.42,40
port elizabeth,ZA,"(-89.15485981491796, 34.65092290242765)",-89.15485981491796,34.65092290242765,73.35,73.35,52,2.37,99
micheweni,TZ,"(-5.2445735160357, 41.75967388380866)",-5.2445735160357,41.75967388380866,76.39,76.39,74,7.81,19
houma,US,"(28.03013570577255, -90.47056875082696)",28.03013570577255,-90.47056875082696,77.52,78.01,83,4.7,1
ushuaia,AR,"(-74.55250930587387, -54.39573801207965)",-74.55250930587387,-54.39573801207965,39.2,39.2,84,10.29,20
kyaikto,MM,"(17.509747397458355, 96.94211181789518)",17.509747397458355,96.94211181789518,83.97,83.97,81,5.84,95
vila franca do campo,PT,"(41.81530678918347, -21.311534420798864)",41.81530678918347,-21.311534420798864,61.99,70,72,5.82,40
sorong,ID,"(-1.3583845434690147, 131.5363157390977)",-1.3583845434690147,131.5363157390977,84.99,84.99,75,6.42,96
agirish,RU,"(63.558172246907475, 62.76696687625849)",63.558172246907475,62.76696687625849,54.97,54.97,69,6.26,95
klaksvik,FO,"(80.6958488859909, -4.960359498750478)",80.6958488859909,-4.960359498750478,51.8,51.8,87,29.97,68
cape town,ZA,"(-76.04743632009139, -12.811349814632933)",-76.04743632009139,-12.811349814632933,46.4,46.4,100,4.7,95
kodiak,US,"(46.03774991255048, -160.7696881824612)",46.03774991255048,-160.7696881824612,57.2,57.2,62,11.41,1
rikitea,PF,"(-45.37345031256914, -130.4928752836081)",-45.37345031256914,-130.4928752836081,72.61,72.61,85,11.03,0
krasnogvardeyets,RU,"(52.552539990822055, 52.35639066633172)",52.552539990822055,52.35639066633172,65.17,65.17,39,3.91,0
marawi,SD,"(21.323336515436253, 25.408769908695035)",21.323336515436253,25.408769908695035,86,86,79,8.01,26
punta arenas,CL,"(-81.78610456676203, -97.23054431909264)",-81.78610456676203,-97.23054431909264,89.49,89.49,59,6.62,17
atuona,PF,"(-10.509003704451871, -129.31377154774557)",-10.509003704451871,-129.31377154774557,78.73,78.73,75,23.22,68
kontagora,NG,"(11.180055656588777, 5.676707221223921)",11.180055656588777,5.676707221223921,71.44,71.44,97,0.81,100
hithadhoo,MV,"(-4.433828792930385, 70.44333279229022)",-4.433828792930385,70.44333279229022,82.71,82.71,76,10.25,93
lebu,CL,"(-34.26393504449883, -104.34856626385779)",-34.26393504449883,-104.34856626385779,48.87,48.87,90,13.4,100
sargatskoye,RU,"(55.87996785421913, 73.83772372417067)",55.87996785421913,73.83772372417067,51.33,51.33,78,9.84,29
faanui,PF,"(-13.419904042410494, -153.15230307547668)",-13.419904042410494,-153.15230307547668,78.01,78.01,76,12.21,1
saint-philippe,RE,"(-56.655517169216985, 71.75739930737032)",-56.655517169216985,71.75739930737032,69.71,73.4,78,3.36,40
zhigansk,RU,"(71.90038863349179, 121.18717941626568)",71.90038863349179,121.18717941626568,51.89,51.89,56,9.17,0
hobart,AU,"(-62.61766008894871, 154.42061865559265)",-62.61766008894871,154.42061865559265,58.26,62.6,51,14.99,20
bumba,CD,"(1.5447224512518716, 22.69480537589442)",1.5447224512518716,22.69480537589442,71.73,71.73,95,1.14,97
east london,ZA,"(-80.01626150262311, 55.4448832261925)",-80.01626150262311,55.4448832261925,41,41,75,8.05,75
grindavik,IS,"(57.180268063761275, -25.345046854584695)",57.180268063761275,-25.345046854584695,44.6,44.6,100,3.36,90
victoria,SC,"(-5.460322383758893, 61.724961946535274)",-5.460322383758893,61.724961946535274,78.8,78.8,94,5.82,40
bochil,MX,"(16.94849899444428, -92.94357755297278)",16.94849899444428,-92.94357755297278,69.8,69.8,94,16.11,90
hay river,CA,"(59.82321322810151, -113.95093726198613)",59.82321322810151,-113.95093726198613,61,61,93,5.39,99
pisco,PE,"(-27.676655236035167, -93.9521319461577)",-27.676655236035167,-93.9521319461577,57.54,57.99,82,2.24,5
srednekolymsk,RU,"(65.92593421286347, 154.41414899359796)",65.92593421286347,154.41414899359796,49.53,49.53,50,14.29,24
bredasdorp,ZA,"(-82.89652244624519, 23.609797962557934)",-82.89652244624519,23.609797962557934,51.8,51.8,93,3.36,0
sire,ET,"(8.380999070574987, 39.528858751938884)",8.380999070574987,39.528858751938884,74.17,74.17,85,4.99,83
astana,KZ,"(50.272384062086076, 69.92485681327881)",50.272384062086076,69.92485681327881,46.4,46.4,81,6.71,90
bluff,NZ,"(-87.99131742495783, 153.6899979898103)",-87.99131742495783,153.6899979898103,54.52,54.52,70,10.02,38
albany,AU,"(-48.89862444535538, 119.81482354971848)",-48.89862444535538,119.81482354971848,66.63,69.01,70,5.93,96
lensk,RU,"(60.072596503898836, 114.39026813374312)",60.072596503898836,114.39026813374312,62.65,62.65,61,9.28,77
nikolayevsk-na-amure,RU,"(54.085852085488284, 141.15825312147558)",54.085852085488284,141.15825312147558,67.37,67.37,57,2.17,100
busselton,AU,"(-34.64234417662789, 108.54355084939249)",-34.64234417662789,108.54355084939249,62.1,64,68,8.01,85
hilo,US,"(8.139672352962194, -157.56092438162128)",8.139672352962194,-157.56092438162128,72.39,80.6,69,8.05,1
clyde river,CA,"(69.0424175048928, -76.59312278551609)",69.0424175048928,-76.59312278551609,68.34,69.01,94,3.76,99
yellowknife,CA,"(82.21733022263152, -102.18827549984002)",82.21733022263152,-102.18827549984002,50.49,51.8,66,18.34,75
port shepstone,ZA,"(-33.143692946407896, 33.95312365924818)",-33.143692946407896,33.95312365924818,73.35,73.35,52,2.37,99
iquique,CL,"(-19.91572869617987, -69.62442654984166)",-19.91572869617987,-69.62442654984166,59,59,77,3.36,90
port blair,IN,"(9.114854397346022, 92.69543486953836)",9.114854397346022,92.69543486953836,73.35,73.35,52,2.37,99
itarema,BR,"(0.8728495629033262, -39.4937088161233)",0.8728495629033262,-39.4937088161233,78.62,78.62,78,16.8,49
kapaa,US,"(11.595451075119882, -172.3389486821096)",11.595451075119882,-172.3389486821096,79.81,82.4,74,11.41,75
cajaruro,PE,"(-5.915100396148574, -78.1727534613365)",-5.915100396148574,-78.1727534613365,74.7,74.7,65,2.24,41
san andres,CO,"(13.078278132355294, -81.40329313811745)",13.078278132355294,-81.40329313811745,73.58,73.58,93,1.45,45
port hawkesbury,CA,"(43.69317071536747, -61.58151184209163)",43.69317071536747,-61.58151184209163,73.35,73.35,52,2.37,99
portland,AU,"(-47.247571860791915, 137.91471458287663)",-47.247571860791915,137.91471458287663,74.14,75.99,29,5.01,39
bouca,CF,"(6.770102345887167, 18.220322699807497)",6.770102345887167,18.220322699807497,69.35,69.35,97,0.87,100
jinchang,CN,"(37.79534242842759, 101.20557784620155)",37.79534242842759,101.20557784620155,69.12,69.12,37,16.33,100
upernavik,GL,"(84.61932244600766, -57.0869235688498)",84.61932244600766,-57.0869235688498,36.81,36.81,79,5.7,100
lompoc,US,"(29.582663652990462, -122.75330080351699)",29.582663652990462,-122.75330080351699,63.3,64.99,82,5.19,1
horta,PT,"(36.883207812887065, -27.878602777842048)",36.883207812887065,-27.878602777842048,69.8,69.8,81,12.71,5
mys shmidta,RU,"(84.7103911327309, -170.10848270533955)",84.7103911327309,-170.10848270533955,59.67,59.67,92,1.81,100
khandyga,RU,"(64.36517433267596, 135.08385986433586)",64.36517433267596,135.08385986433586,57.87,57.87,52,3.62,0
nsanje,MW,"(-17.375031558806512, 34.101636315750824)",-17.375031558806512,34.101636315750824,65.97,65.97,72,3.06,3
hami,CN,"(41.314977353020936, 91.70203057111502)",41.314977353020936,91.70203057111502,79.43,79.43,26,7,17
thompson,CA,"(63.87090459066994, -92.46053927963487)",63.87090459066994,-92.46053927963487,37.4,37.4,82,5.82,75
tromso,NO,"(72.24793907155279, 18.345459355791036)",72.24793907155279,18.345459355791036,51.8,51.8,71,35.57,75
narsaq,GL,"(84.47904471631736, -60.058255073324545)",84.47904471631736,-60.058255073324545,39.2,39.2,70,2.24,17
georgetown,SH,"(-11.23456263017978, -12.736225085253494)",-11.23456263017978,-12.736225085253494,88.45,89.6,62,9.17,20
qaanaaq,GL,"(85.17446552979229, -80.22419434108845)",85.17446552979229,-80.22419434108845,21.16,21.16,81,10.92,100
vao,NC,"(-24.187818110504722, 167.05897191473503)",-24.187818110504722,167.05897191473503,68.18,68.18,79,23.85,76
ilulissat,GL,"(70.90731329440132, -49.920614210063064)",70.90731329440132,-49.920614210063064,35.6,35.6,80,11.41,56
antalaha,MG,"(-15.292286576961757, 50.65971829425001)",-15.292286576961757,50.65971829425001,72.84,72.84,75,7.56,57
belyy yar,RU,"(58.646598627647506, 85.79368256198165)",58.646598627647506,85.79368256198165,51.73,51.73,95,6.64,100
mount isa,AU,"(-24.244478186747386, 141.66774034750136)",-24.244478186747386,141.66774034750136,60.01,61,98,4,100
veseloyarsk,RU,"(50.90153217509979, 81.02848945450523)",50.90153217509979,81.02848945450523,53.55,53.55,57,15.95,38
aklavik,CA,"(67.17190651679482, -134.63009219128338)",67.17190651679482,-134.63009219128338,46.4,46.4,87,6.93,75
avarua,CK,"(-63.25028554239334, -164.27667726431153)",-63.25028554239334,-164.27667726431153,73.4,73.4,73,12.75,37
mahebourg,MU,"(-53.2207551839559, 80.09718739346107)",-53.2207551839559,80.09718739346107,71.6,71.6,100,10.29,75
touros,BR,"(-1.8281464662005789, -27.06424246001572)",-1.8281464662005789,-27.06424246001572,69.8,69.8,94,3.36,40
new norfolk,AU,"(-45.25722704265532, 142.800687230729)",-45.25722704265532,142.800687230729,71.74,71.74,96,2.82,72
tarko-sale,RU,"(63.469532204380556, 78.79045777554211)",63.469532204380556,78.79045777554211,50,50,92,3.89,100
yar-sale,RU,"(66.00326870870987, 69.76274443619832)",66.00326870870987,69.76274443619832,51.19,51.19,69,14.2,100
noumea,NC,"(-30.69767370349014, 163.63014301807323)",-30.69767370349014,163.63014301807323,71.6,71.6,64,23.04,90
kahului,US,"(36.823431842559756, -148.66268019986472)",36.823431842559756,-148.66268019986472,75.9,80.6,69,12.75,20
namibe,AO,"(-20.262512288160423, 5.817204215296584)",-20.262512288160423,5.817204215296584,65.73,65.73,89,4.09,1
cidreira,BR,"(-38.28506342635454, -38.98959990440298)",-38.28506342635454,-38.98959990440298,58.6,58.6,92,17.56,100
saint-max,FR,"(48.79220273935917, 6.340622470491041)",48.79220273935917,6.340622470491041,45.75,48.2,93,2.24,1
marienburg,SR,"(6.366487253965914, -54.941270808634215)",6.366487253965914,-54.941270808634215,49.01,50,100,10.85,69
camapua,BR,"(-18.599178316414054, -53.596520837122554)",-18.599178316414054,-53.596520837122554,73.78,73.78,37,6.6,26
coihaique,CL,"(-51.35451286524899, -85.5666275226841)",-51.35451286524899,-85.5666275226841,42.8,42.8,93,3.53,90
roswell,US,"(33.97044795153725, -104.78644365985707)",33.97044795153725,-104.78644365985707,67.44,69.8,68,3.36,1
wazirganj,IN,"(28.269520324404226, 79.03290534814221)",28.269520324404226,79.03290534814221,91.45,91.45,57,3.62,1
ocos,GT,"(13.737708241240284, -92.87576354995835)",13.737708241240284,-92.87576354995835,66.04,66.99,96,5.66,96
shimoda,JP,"(28.899165657607327, 140.19525090610296)",28.899165657607327,140.19525090610296,84.2,84.2,83,13.87,40
kemijarvi,FI,"(66.82407924925144, 27.172388957757875)",66.82407924925144,27.172388957757875,45.86,45.86,90,7.52,74
zavodoukovsk,RU,"(56.53507392675098, 66.53324243300312)",56.53507392675098,66.53324243300312,52.36,52.36,66,4.97,37
hermanus,ZA,"(-54.39440934555756, 14.688512170279779)",-54.39440934555756,14.688512170279779,51.01,51.01,92,5.01,0
tuktoyaktuk,CA,"(75.36042236863139, -136.5359518153951)",75.36042236863139,-136.5359518153951,42.8,42.8,93,18.34,90
vaini,TO,"(-26.03513045700226, -175.81250601391548)",-26.03513045700226,-175.81250601391548,75.2,75.2,78,10.29,75
cayenne,GF,"(12.75963068406503, -45.63436694382381)",12.75963068406503,-45.63436694382381,78.8,78.8,100,9.62,13
george town,KY,"(17.326484071048625, -81.70359404710926)",17.326484071048625,-81.70359404710926,57.2,57.2,82,4.7,0
butaritari,KI,"(12.167894721174548, 159.28685511555477)",12.167894721174548,159.28685511555477,82.22,82.22,73,4.41,43
tupelo,US,"(34.32323645180281, -88.52861584639187)",34.32323645180281,-88.52861584639187,74.73,77,69,5.82,1
otane,NZ,"(-39.804289981399585, 176.5633569083543)",-39.804289981399585,176.5633569083543,55.99,55.99,65,1.01,0
boyolangu,ID,"(-13.798202071057176, 111.3119863852254)",-13.798202071057176,111.3119863852254,83.62,83.62,61,10.76,79
constitucion,MX,"(21.28928940907896, -115.34086308162)",21.28928940907896,-115.34086308162,48.81,48.81,83,3.13,99
havelock,US,"(31.31111248483468, -73.49880696024407)",31.31111248483468,-73.49880696024407,74.44,75.99,88,9.17,1
jamestown,SH,"(-11.28101625405715, -9.176059187408185)",-11.28101625405715,-9.176059187408185,62.38,63,93,4.74,75
pasni,PK,"(22.73622866311611, 63.23984905051401)",22.73622866311611,63.23984905051401,84.65,84.65,71,10.67,0
awbari,LY,"(25.471105516103577, 12.006118101579546)",25.471105516103577,12.006118101579546,78.19,78.19,23,10.49,0
arraial do cabo,BR,"(-24.033601452979312, -40.60280760512967)",-24.033601452979312,-40.60280760512967,66.2,66.2,82,10.29,68
gizo,SB,"(-9.98598391008069, 156.99368203645804)",-9.98598391008069,156.99368203645804,83.59,83.59,74,8.37,36
camacha,PT,"(38.31428450909502, -19.129638601035538)",38.31428450909502,-19.129638601035538,71.6,71.6,83,13.87,40
codrington,AG,"(17.50193032206529, -61.268579296487644)",17.50193032206529,-61.268579296487644,59,59,69,16.04,19
demba,CD,"(-5.69002574682645, 22.277036952454665)",-5.69002574682645,22.277036952454665,71.73,71.73,70,2.89,56
bandarbeyla,SO,"(7.561750057855534, 58.746101915987964)",7.561750057855534,58.746101915987964,79.14,79.14,66,25.3,91
vestmanna,FO,"(63.68882784120183, -7.411433236071645)",63.68882784120183,-7.411433236071645,51.8,51.8,87,29.97,92
puerto ayora,EC,"(0.9044591373050821, -105.04826183452225)",0.9044591373050821,-105.04826183452225,73.6,73.99,78,11.41,0
alekseyevka,RU,"(52.12588168021105, 48.30661385881035)",52.12588168021105,48.30661385881035,65.59,65.59,40,5.95,4
tasiilaq,GL,"(62.11886236581776, -38.73841902296945)",62.11886236581776,-38.73841902296945,32,32,82,8.12,10
magistralnyy,RU,"(55.246463453790994, 108.06646760187829)",55.246463453790994,108.06646760187829,72.07,72.07,44,6.6,84
carnarvon,AU,"(-25.00291238187478, 111.87479254855293)",-25.00291238187478,111.87479254855293,69.8,69.8,68,14.99,95
bur gabo,SO,"(-5.386501510082695, 47.40502065503006)",-5.386501510082695,47.40502065503006,60.01,60.01,96,13.98,100
ribeira grande,PT,"(43.58823708110262, -32.19732957269264)",43.58823708110262,-32.19732957269264,55.87,62.01,82,6.93,59
myanaung,MM,"(18.161023933228705, 94.33568743417914)",18.161023933228705,94.33568743417914,89.11,89.11,68,5.35,76
celestun,MX,"(22.90164129510255, -92.7539861415454)",22.90164129510255,-92.7539861415454,80.08,80.08,82,9.6,27
petropavlovka,RU,"(50.31556467992843, 40.88271259229566)",50.31556467992843,40.88271259229566,70.36,70.36,54,1.72,40
labuhan,ID,"(-12.972062323973788, 98.85269150474903)",-12.972062323973788,98.85269150474903,89.44,89.44,50,8.25,8
guaira,BR,"(-24.041829675303546, -54.29365986565864)",-24.041829675303546,-54.29365986565864,69.76,69.76,32,5.03,28
tautira,PF,"(-20.76250322002231, -144.393331918417)",-20.76250322002231,-144.393331918417,78.4,78.8,74,11.41,20
riverton,NZ,"(-49.49882348779063, 165.7785330349315)",-49.49882348779063,165.7785330349315,68.63,71.01,35,27.51,1
singaparna,ID,"(-8.628007124200437, 107.69600536285549)",-8.628007124200437,107.69600536285549,83.37,83.37,59,5.44,70
wangou,CN,"(42.44246781481232, 126.95262863240606)",42.44246781481232,126.95262863240606,54.37,54.37,96,14.54,100
valparaiso,CL,"(-31.557049560886014, -74.60274300699865)",-31.557049560886014,-74.60274300699865,44.6,44.6,100,2.24,16
mapiripan,CO,"(2.666596310625053, -71.70226383634436)",2.666596310625053,-71.70226383634436,74.59,74.59,85,0.96,87
chuy,UY,"(-54.451817477052494, -31.83388257594467)",-54.451817477052494,-31.83388257594467,52.38,52.38,86,6.49,37
taltal,CL,"(-26.146789802264557, -75.1067724751189)",-26.146789802264557,-75.1067724751189,53.51,53.51,80,4.16,30
nikolskoye,RU,"(42.0390602691547, 168.39534766933457)",42.0390602691547,168.39534766933457,49.64,52,87,3.47,40
longyearbyen,SJ,"(77.83722020721325, 16.511558357955778)",77.83722020721325,16.511558357955778,33.8,33.8,83,8.05,20
trairi,BR,"(0.5861405167798495, -37.27140277707474)",0.5861405167798495,-37.27140277707474,78.84,78.84,76,14.79,62
pemba,MZ,"(-11.6891076751251, 41.037426061915085)",-11.6891076751251,41.037426061915085,66.09,66.2,93,9.17,20
japura,BR,"(-0.8969049228561232, -68.45096725801623)",-0.8969049228561232,-68.45096725801623,90.25,90.25,53,5.59,71
dikson,RU,"(86.87232384501024, 90.39580940422394)",86.87232384501024,90.39580940422394,43.81,43.81,73,26.35,100
ndele,CF,"(8.983069149600595, 21.574995716565724)",8.983069149600595,21.574995716565724,69.08,69.08,97,2.21,77
mitsamiouli,KM,"(-7.918742876602167, 44.20820839968215)",-7.918742876602167,44.20820839968215,69.8,69.8,60,4.7,20
maneadero,MX,"(29.509116457534248, -119.52804855348822)",29.509116457534248,-119.52804855348822,72,72,91,1.99,0
barrow,US,"(65.0967463234748, -156.6666091565186)",65.0967463234748,-156.6666091565186,36.07,36.07,84,15.03,100
itoman,JP,"(20.54489863837864, 129.7891877093)",20.54489863837864,129.7891877093,84.85,86,74,10.29,20
nanortalik,GL,"(57.15613626250527, -40.54233226194086)",57.15613626250527,-40.54233226194086,40.8,40.8,81,21.52,0
anadyr,RU,"(59.02600681546238, 173.640628490364)",59.02600681546238,173.640628490364,53.28,53.6,50,4.47,20
saint-pierre,RE,"(-24.906250118116333, 53.71756338620196)",-24.906250118116333,53.71756338620196,70.43,73.4,78,3.36,25
kavieng,PG,"(15.145905512300516, 155.41034772505134)",15.145905512300516,155.41034772505134,84.94,84.94,73,11.03,11
chokurdakh,RU,"(84.28496264580147, 156.0870654571318)",84.28496264580147,156.0870654571318,42.42,42.42,91,10.76,100
mukhen,RU,"(48.13818804166732, 137.1707469436824)",48.13818804166732,137.1707469436824,79.09,79.09,56,11.25,100
naze,JP,"(29.602948271955185, 130.85468534438075)",29.602948271955185,130.85468534438075,86.88,87.8,74,9.17,20
bela cruz,BR,"(-3.0010085951018226, -40.289316366614855)",-3.0010085951018226,-40.289316366614855,92.84,92.84,57,7.09,95
balotra,IN,"(25.64515406348127, 71.85912376640255)",25.64515406348127,71.85912376640255,90.55,90.55,56,8.93,0
san cristobal,EC,"(-10.88458643923272, -91.21353626432625)",-10.88458643923272,-91.21353626432625,73.58,73.58,93,1.45,45
iqaluit,CA,"(59.53005348440689, -69.7141848191567)",59.53005348440689,-69.7141848191567,35.29,35.6,93,5.82,75
pangkalanbuun,ID,"(-4.531477240638495, 111.19261066753313)",-4.531477240638495,111.19261066753313,85.26,85.26,74,5.32,81
okmulgee,US,"(35.00720583841418, -95.72215928879599)",35.00720583841418,-95.72215928879599,77,77,94,8.05,1
port lincoln,AU,"(-37.763311195541064, 133.87282629421327)",-37.763311195541064,133.87282629421327,73.35,73.35,52,2.37,99
mount gambier,AU,"(-53.91690191445218, 127.9118858654997)",-53.91690191445218,127.9118858654997,60.01,61,98,4,100
port alfred,ZA,"(-72.59847479570487, 43.09432163168856)",-72.59847479570487,43.09432163168856,73.35,73.35,52,2.37,99
hambantota,LK,"(0.056051520049578585, 86.58638723478481)",0.056051520049578585,86.58638723478481,87.8,87.8,74,8.05,75
norman wells,CA,"(65.05383259757673, -121.30291777599835)",65.05383259757673,-121.30291777599835,78.58,79,69,13.87,1
pangnirtung,CA,"(63.63292918435795, -59.73900912340882)",63.63292918435795,-59.73900912340882,36.21,36.21,80,1.61,12
sao filipe,CV,"(11.34462939767424, -29.778417915326855)",11.34462939767424,-29.778417915326855,83.01,83.01,71,6.85,47
abu kamal,SY,"(34.91785588785095, 41.12793723959243)",34.91785588785095,41.12793723959243,76.77,76.77,77,5.37,0
